StopName,StationID,Lon,Lat,TOWNNAME,TOWNENG
義大醫院,"637",22.76492900000,120.36399500000,燕巢區,Yanchao District
新甲國小,"327",22.61284500000,120.34083300000,鳳山區,Fengshan District
警廣站(重忠路),"3803",22.68824100000,120.31676700000,左營區,Zuoying District
獅湖國小(鼎中路),"675",22.67420700000,120.32186100000,三民區,Sanmin District
天祥一路,"3731",22.66778900000,120.31822100000,三民區,Sanmin District
大樂民族店,"2695",22.65976500000,120.31474500000,三民區,Sanmin District
店仔頂路口,"699",22.68434300000,120.28944100000,左營區,Zuoying District
常順街口,"2146",22.73301400000,120.33618800000,楠梓區,Nanzi District
煉油廠(捷運世運站),"3054",22.70275500000,120.30269400000,楠梓區,Nanzi District
左營市場,"3046",22.68781100000,120.29362400000,左營區,Zuoying District
壽民路,"3027",22.72156000000,120.29655100000,楠梓區,Nanzi District
加昌路口(捷運後勁站),"3082",22.72347600000,120.31627500000,楠梓區,Nanzi District
大仁路(裕賀牛觀光工廠),"1404",22.77018300000,120.38328400000,燕巢區,Yanchao District
橫山國小,"831",22.76795100000,120.37945200000,燕巢區,Yanchao District
楠梓運動園區(土庫路),"853",22.73490900000,120.33243200000,楠梓區,Nanzi District
捷運楠梓科技園區站,"1055",22.71865900000,120.30664800000,楠梓區,Nanzi District
萬金松,"846",22.74735800000,120.34630500000,大社區,Dashe District
瑞豐站(武營路),"3205",22.60696100000,120.33800900000,鳳山區,Fengshan District
紫竹林精舍,"3209",22.61232100000,120.33733700000,鳳山區,Fengshan District
鳳新高中,"2556",22.61293600000,120.34284200000,鳳山區,Fengshan District
小港分局,"3138",22.56570200000,120.34425100000,小港區,Xiaogang District
大智路口(五福四路),"3909",22.62195100000,120.28695200000,鹽埕區,Yancheng District
興中二路口,"4058",22.61646800000,120.30371300000,苓雅區,Lingya District
勞工公園(捷運獅甲站),"3608",22.60519700000,120.30836500000,前鎮區,Qianzhen District
捷運三多商圈站(中山二路),"3606",22.61287600000,120.30473200000,苓雅區,Lingya District
青島里,"3753",22.57340400000,120.35297600000,小港區,Xiaogang District
捷運中央公園站,"2293",22.62489100000,120.30102900000,前金區,Qianjin District
前鎮高中,"97",22.58710800000,120.32023200000,前鎮區,Qianzhen District
青島里,"3752",22.57319900000,120.35392000000,小港區,Xiaogang District
鼎山街,"3834",22.65945400000,120.32183100000,三民區,Sanmin District
明吉路,"4193",22.66319000000,120.31360800000,三民區,Sanmin District
鳳山轉運站(捷運大東站),"12",22.62577700000,120.36337300000,鳳山區,Fengshan District
曹公路,"641",22.62837700000,120.35722300000,鳳山區,Fengshan District
全國加油站,"5034",22.65070400000,120.39212900000,鳥松區,Niaosong District
圓照寺,"4799",22.66263800000,120.38224400000,鳥松區,Niaosong District
仁和公園,"4909",22.68125400000,120.35241100000,仁武區,Renwu District
曹公路,"642",22.62835700000,120.35708900000,鳳山區,Fengshan District
文藻外語大學(民族一路),"876",22.67069500000,120.31755200000,左營區,Zuoying District
大灣,"2198",22.68031600000,120.35004900000,仁武區,Renwu District
復興國小,"3534",22.60790500000,120.31189800000,前鎮區,Qianzhen District
輕軌凱旋瑞田站,"2672",22.59951700000,120.32028300000,前鎮區,Qianzhen District
復興國小,"3535",22.60817200000,120.31161900000,前鎮區,Qianzhen District
七老爺,"3808",22.60769400000,120.34754100000,鳳山區,Fengshan District
高醫(高雄醫學大學),"4004",22.64653200000,120.30870900000,三民區,Sanmin District
北平一街二,"4001",22.64984000000,120.30759000000,三民區,Sanmin District
歷史博物館(高雄國際會議中心),"3419",22.62600500000,120.28672200000,鹽埕區,Yancheng District
一心一路口(輕軌籬仔內站),"2670",22.60621900000,120.32489400000,前鎮區,Qianzhen District
榮總側門,"2488",22.67971300000,120.32167600000,左營區,Zuoying District
榮佑路,"1490",22.68194000000,120.32075800000,左營區,Zuoying District
加昌路,"3472",22.72007700000,120.31026100000,楠梓區,Nanzi District
楠梓農會,"856",22.72883500000,120.32953300000,楠梓區,Nanzi District
高楠里,"868",22.69224700000,120.32175300000,仁武區,Renwu District
後勁國中(捷運後勁站),"3475",22.72185600000,120.31563900000,楠梓區,Nanzi District
