id,Address,Response_Address,Response_X,Response_Y
1,花蓮縣花蓮市府前路298號298之1號1樓,花蓮縣花蓮市民政里16鄰府前路298號,313325.815,2654601.771
2,花蓮縣花蓮市中正路65號1樓2樓,花蓮縣花蓮市主農里22鄰中正路65號,310633.875,2651810.728
3,花蓮縣花蓮市國富里十三鄰莊敬路72號1樓國富十街1之1號1樓,花蓮縣花蓮市國富里13鄰莊敬路72號,310669.549,2653851.89
4,花蓮縣花蓮市國聯一路2號2-1號,花蓮縣花蓮市國聯里32鄰國聯一路2號,311510.538,2654535.191
5,花蓮縣花蓮市中美路37號,花蓮縣花蓮市民勤里3鄰中美路37號,313136.728,2653553.745
6,花蓮縣花蓮市中興路71號,花蓮縣花蓮市民立里8鄰中興路71號,314073.099,2654366.463
7,花蓮縣花蓮市建國路236號238號1樓,花蓮縣花蓮市國魂里1鄰建國路236號,311068.37,2653409.683
8,花蓮縣花蓮市中正路563號1樓,花蓮縣花蓮市國治里11鄰中正路563號,311833.918,2652674.168
9,花蓮縣花蓮市國聯一路100號3樓,花蓮縣花蓮市國聯里35鄰國聯一路100號,311185.859,2654334.48
10,花蓮縣花蓮市和平路597號1樓,花蓮縣花蓮市國風里15鄰和平路597號,310954.75,2652852.1
11,花蓮縣花蓮市中美路83-1號83-2號,花蓮縣花蓮市民勤里15鄰中美路83之1號,313483.222,2653987.348
12,花蓮縣花蓮市民權路115號117號,花蓮縣花蓮市民立里5鄰民權路115號,313713.44,2653902.509
13,花蓮縣花蓮市建國路二段862號及866號1樓,花蓮縣花蓮市國興里26鄰建國路二段862號,307557.392,2654697.875
14,花蓮縣花蓮市中山路74號,花蓮縣花蓮市民族里6鄰中山路74號,312202.914,2652369.313
15,花蓮縣花蓮市華西121-9及121-10及121-11號,花蓮縣花蓮市民心里14鄰華西121之11號,312955.791,2656413.037
16,花蓮縣花蓮市國民九街56號58號1樓,花蓮縣花蓮市國盛里19鄰國民九街56號,311727.979,2654553.049
17,花蓮縣花蓮市公園路7-1號,花蓮縣花蓮市民生里19鄰公園路7之1號,312178.489,2652638.91
18,花蓮縣花蓮市國聯一路55號,花蓮縣花蓮市國聯里29鄰國聯一路55號,311413.473,2654337.507
19,花蓮縣花蓮市國富里富國路32號1樓,花蓮縣花蓮市國富里18鄰富國路32號,310636.541,2654164.83
20,花蓮縣花蓮市中華路426號,花蓮縣花蓮市主權里7鄰中華路426號,310479.685,2652356.228
21,花蓮縣花蓮市民享里府前路638號640號,花蓮縣花蓮市民享里1鄰府前路638號,312974.982,2655693.092
22,花蓮縣花蓮市中央路三段808號810號,花蓮縣花蓮市國富里37鄰中央路三段808號,310219.297,2654342.921
23,花蓮縣花蓮市民國路22號1樓,花蓮縣花蓮市國治里19鄰民國路22號,311560.255,2652746.628
