COUNTY_ID,COUNTY,TOWN_ID,TOWN,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,資料時間
"65000","新北市","65000010","板橋區",93.7100000000000000,2.44,23950.29,45.81,17.88,27.94,156.28,"113Y06M"
"65000","新北市","65000020","三重區",95.3900000000000000,2.36,23453.70,42.06,14.71,27.34,185.85,"113Y06M"
"65000","新北市","65000030","中和區",92.4600000000000000,2.33,20172.41,43.96,13.61,30.35,222.93,"113Y06M"
"65000","新北市","65000040","永和區",89.2600000000000000,2.31,37552.59,52.14,17.06,35.08,205.57,"113Y06M"
"65000","新北市","65000050","新莊區",94.0800000000000000,2.51,21475.36,40.66,18.31,22.35,122.06,"113Y06M"
"65000","新北市","65000060","新店區",91.3000000000000000,2.24,2542.90,45.37,12.65,32.72,258.68,"113Y06M"
"65000","新北市","65000070","樹林區",98.4700000000000000,2.61,5428.48,39.78,16.82,22.96,136.51,"113Y06M"
"65000","新北市","65000080","鶯歌區",99.6900000000000000,2.59,4217.03,37.94,16.76,21.18,126.42,"113Y06M"
"65000","新北市","65000090","三峽區",99.0600000000000000,2.52,602.69,40.19,18.09,22.10,122.20,"113Y06M"
"65000","新北市","65000100","淡水區",90.6100000000000000,2.12,2792.24,41.63,14.90,26.74,179.52,"113Y06M"
"65000","新北市","65000110","汐止區",94.2700000000000000,2.19,2945.14,37.07,12.72,24.35,191.47,"113Y06M"
"65000","新北市","65000120","瑞芳區",101.8100000000000000,2.31,519.99,43.13,11.27,31.86,282.73,"113Y06M"
"65000","新北市","65000130","土城區",95.5800000000000000,2.53,8153.72,38.50,15.91,22.59,141.94,"113Y06M"
"65000","新北市","65000140","蘆洲區",95.4300000000000000,2.63,26779.20,36.72,15.96,20.76,130.13,"113Y06M"
"65000","新北市","65000150","五股區",99.1500000000000000,2.44,2681.17,34.31,14.87,19.44,130.70,"113Y06M"
"65000","新北市","65000160","泰山區",96.8000000000000000,2.57,4052.18,39.38,17.16,22.22,129.44,"113Y06M"
"65000","新北市","65000170","林口區",93.8700000000000000,2.41,2489.04,45.17,25.55,19.62,76.81,"113Y06M"
"65000","新北市","65000180","深坑區",98.5600000000000000,2.35,1148.42,37.91,11.42,26.49,231.94,"113Y06M"
"65000","新北市","65000190","石碇區",119.7200000000000000,2.14,49.18,49.86,8.28,41.59,502.55,"113Y06M"
"65000","新北市","65000200","坪林區",117.1100000000000000,2.50,37.44,56.84,9.17,47.67,519.79,"113Y06M"
"65000","新北市","65000210","三芝區",105.6300000000000000,2.24,334.47,44.02,11.06,32.96,297.99,"113Y06M"
"65000","新北市","65000220","石門區",108.9300000000000000,2.50,206.67,38.86,8.87,29.99,337.96,"113Y06M"
"65000","新北市","65000230","八里區",98.8100000000000000,2.36,1066.31,36.72,14.10,22.63,160.50,"113Y06M"
"65000","新北市","65000240","平溪區",128.1300000000000000,1.92,57.40,59.28,5.72,53.56,936.73,"113Y06M"
"65000","新北市","65000250","雙溪區",120.7500000000000000,2.20,53.25,57.40,8.29,49.11,592.68,"113Y06M"
"65000","新北市","65000260","貢寮區",103.6100000000000000,2.55,108.41,43.70,6.21,37.50,604.27,"113Y06M"
"65000","新北市","65000270","金山區",97.6500000000000000,2.78,411.25,38.51,10.40,28.11,270.44,"113Y06M"
"65000","新北市","65000280","萬里區",98.9500000000000000,2.72,328.23,43.84,10.61,33.23,313.30,"113Y06M"
"65000","新北市","65000290","烏來區",94.4100000000000000,3.29,19.51,45.67,19.02,26.65,140.10,"113Y06M"
"63000","臺北市","63000010","松山區",86.9800000000000000,2.40,20832.27,59.85,22.28,37.57,168.60,"113Y06M"
